time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1499055180,0c2075,37.6665802002,-122.485578821,127.088493986,294.386371102,13.0048,CMP209  ,False,False,False,7374.0,967.74,967.74,1499055179.95,1499055179.95
1499055190,0c2075,37.6684112549,-122.493526378,126.7924444,292.923865919,13.0048,CMP209  ,False,False,False,7374.0,1089.66,990.6,1499055185.47,1499055189.73
1499055200,0c2075,37.6684112549,-122.493526378,126.7924444,292.923865919,13.0048,CMP209  ,False,False,False,7374.0,1089.66,990.6,1499055185.47,1499055189.73
1499055210,0c2075,37.6684112549,-122.493526378,126.7924444,292.923865919,13.0048,CMP209  ,False,False,False,7374.0,1242.06,990.6,1499055185.47,1499055207.91
1499055220,0c2075,37.6535447977,-122.538757324,126.7924444,292.923865919,13.0048,CMP209  ,False,False,False,7374.0,1341.12,990.6,1499055219.98,1499055219.98
0,aca57,37.610762622132185,-122.34647585952114,,,,,,,,,,300,,
1,aca57,37.611039397596564,-122.34863471790516,,,,,,,,,,200,,
2,aca57,37.613403593752494,-122.3534603611503,,,,,,,,,,150,,
3,aca57,37.61518805904412,-122.35799896296122,,,,,,,,,,89,,
4,aca57,37.6157406191725,-122.35926774630892,,,,,,,,,,60,,
